game_id|game_name|game_info|game_size
Brutal%20-%20Paws%20of%20Fury.zip|Brutal: Paws of Fury|1.07 MB - Fighting/2p - (c)1994 GameTek|1124067
Bubba%20%27n%27%20Stix.zip|Bubba 'n' Stix|538.70 KB - Platform/1p - (c)1993 Tengen|551631
Bubble%20and%20Squeak.zip|Bubble and Squeak|297.42 KB - Platform/1p - (c)1994 Sunsoft|304558
Bubsy%20II.zip|Bubsy II|1.03 MB - Platform/2p - (c)1994 Accolade|1075199
Bubsy%20in%20Claws%20Encounters%20of%20the%20Furred%20Kind.zip|Bubsy in Claws Encounters of the Furred Kind|933.28 KB - Platform/1p - (c)1993 Accolade|955678
Buck%20Rogers%20-%20Countdown%20to%20Doomsday.zip|Buck Rogers: Countdown to Doomsday|863.16 KB - Role-playing (T)/1p - (c)1991 Electronic Arts|883874
Bugs%20Bunny%20in%20Double%20Trouble.zip|Bugs Bunny in Double Trouble|1.11 MB - Platform/1p - (c)1996 Sega|1167485
Bulls%20versus%20Blazers%20and%20the%20NBA%20Playoffs.zip|Bulls versus Blazers and the NBA Playoffs|475.02 KB - Sports/2p - (c)1993 Electronic Arts|486421
Bulls%20versus%20Lakers%20and%20the%20NBA%20Playoffs.zip|Bulls versus Lakers and the NBA Playoffs|458.28 KB - Sports/2p - (c)1992 Electronic Arts|469281
Burning%20Force.zip|Burning Force|255.42 KB - Shoot 'em up/1p - (c)1990 Namco|261552
Cadash.zip|Cadash|332.01 KB - Role-playing/2p - (c)1992 Taito|339980
Cannon%20Fodder.zip|Cannon Fodder|561.19 KB - Strategy/1p - (c)1994 Virgin Interactive|574657
Captain%20America%20and%20the%20Avengers.zip|Captain America and the Avengers|636.79 KB - Beat 'em up/2p - (c)1992 Data East|652072
Castle%20of%20Illusion%20Starring%20Mickey%20Mouse.zip|Castle of Illusion Starring Mickey Mouse|390.00 KB - Platform/1p - (c)1990 Sega|399362
Castlevania%20-%20Bloodlines.zip|Castlevania: Bloodlines (also known as Vampire Killer and Castlevania: The New Generation)|695.95 KB - Platform/1p - (c)1994 Konami|712648
Centurion%20-%20Defender%20of%20Rome.zip|Centurion: Defender of Rome|493.37 KB - Strategy/1p - (c)1991 Electronic Arts|505206
Chakan%20-%20The%20Forever%20Man.zip|Chakan: The Forever Man|660.75 KB - Platform/1p - (c)1992 Sega|676613
Champions%20World%20Class%20Soccer.zip|Champions World Class Soccer|509.56 KB - Sports/2p - (c)1993 Flying Edge|521787
Championship%20Bowling.zip|Championship Bowling|177.73 KB - Sports/2p - (c)1993 Mentrix Software|181992
Championship%20Pro-Am.zip|Championship Pro-Am (also known as R.C. Pro-Am)|99.44 KB - Racing/1p - (c)1992 Tradewest|101822
Chase%20H.Q.%20II.zip|Chase H.Q. II|223.91 KB - Racing/1p - (c)1992 Taito|229284
Cheese%20Cat-Astrophe%20Starring%20Speedy%20Gonzales.zip|Cheese Cat-Astrophe Starring Speedy Gonzales|1.19 MB - Platform/1p - (c)1995 Sega|1252926
Chiki%20Chiki%20Boys.zip|Chiki Chiki Boys (also known as Mega Twins)|495.84 KB - Platform/2p - (c)1993 Sega|507738
Chuck%20Rock.zip|Chuck Rock|356.57 KB - Platform/1p - (c)1992 Virgin Interactive|365129
Chuck%20Rock%20II%20-%20Son%20of%20Chuck.zip|Chuck Rock II: Son of Chuck|542.78 KB - Platform/1p - (c)1993 Virgin Interactive|555808
ClayFighter.zip|ClayFighter|1.26 MB - Fighting/2p - (c)1994 Interplay|1320415
Coach%20K%20College%20Basketball.zip|Coach K College Basketball|1.07 MB - Sports/4p - (c)1995 Electronic Arts|1122711
College%20Football%27s%20National%20Championship.zip|College Football's National Championship|1.05 MB - Sports/4p - (c)1994 Sega|1101654
College%20Football%27s%20National%20Championship%20II.zip|College Football's National Championship II|766.54 KB - Sports/4p - (c)1995 Sega|784934
College%20Football%20USA%2096.zip|College Football USA 96|1.05 MB - Sports/4p - (c)1995 Electronic Arts|1097653
College%20Football%20USA%2097.zip|College Football USA 97|1.20 MB - Sports/4p - (c)1996 Electronic Arts|1260009
College%20Slam.zip|College Slam|2.15 MB - Sports/4p - (c)1996 Acclaim|2253984
Columns.zip|Columns|82.10 KB - Puzzle/2p - (c)1990 Sega|84075
Columns%20III%20-%20Revenge%20of%20Columns.zip|Columns III: Revenge of Columns|241.75 KB - Puzzle/5p - (c)1993 Vic Tokai|247557
Combat%20Cars.zip|Combat Cars|506.62 KB - Racing/2p - (c)1994 Accolade|518784
Comix%20Zone.zip|Comix Zone|1.55 MB - Beat 'em up/1p - (c)1995 Sega|1629173
Contra%20-%20Hard%20Corps.zip|Contra: Hard Corps (also known as Probotector)|1.30 MB - Run and gun/2p - (c)1994 Konami|1367551
Cool%20Spot.zip|Cool Spot|619.85 KB - Platform/1p - (c)1994 Virgin Interactive|634723
Cosmic%20Spacehead.zip|Cosmic Spacehead|655.17 KB - Adventure/2p - (c)1993 Codemasters|670897
Crack%20Down.zip|Crack Down|222.21 KB - Run and gun/2p - (c)1991 Sage's Creation|227543
Crue%20Ball%20-%20Heavy%20Metal%20Pinball.zip|Crue Ball: Heavy Metal Pinball|213.67 KB - Pinball/4p - (c)1992 Electronic Arts|218797
Crusader%20of%20Centy.zip|Crusader of Centy (also known as Soleil)|1.26 MB - Role-playing/1p - (c)1994 Atlus|1323333
Cyborg%20Justice.zip|Cyborg Justice|244.47 KB - Beat 'em up/2p - (c)1993 Sega|250336
Darius.zip|Darius|1.41 MB - Shoot 'em up/1p - (c)2019 Sega|1475695
Dashin%27%20Desperadoes.zip|Dashin' Desperadoes|628.54 KB - Platform/2p - (c)1993 Data East|643629
Davis%20Cup%20Tennis.zip|Davis Cup Tennis|539.94 KB - Sports/2p - (c)1993 Tengen|552896
Daze%20Before%20Christmas.zip|Daze Before Christmas|1.17 MB - Platform/2p - (c)1994 Sunsoft|1225334
Death%20and%20Return%20of%20Superman%2C%20The.zip|Death and Return of Superman, The|1.07 MB|1120869
Decap%20Attack.zip|Decap Attack (also known as Magical Hat no Buttobi Tabo! Daibouken)|246.55 KB - Platform/1p - (c)1991 Sega|252465
Demolition%20Man.zip|Demolition Man|812.07 KB - Platform/1p - (c)1995 Acclaim|831561
Desert%20Demolition%20Starring%20Road%20Runner%20and%20Wile%20E.%20Coyote.zip|Desert Demolition Starring Road Runner and Wile E. Coyote|598.36 KB - Platform/1p - (c)1994 Sega|612720
Desert%20Strike%20-%20Return%20to%20the%20Gulf.zip|Desert Strike: Return to the Gulf|570.53 KB - Shooter/1p - (c)1992 Electronic Arts|584225
Devilish%20-%20The%20Next%20Possession.zip|Devilish: The Next Possession|320.46 KB - Action/2p - (c)1992 Sage's Creation|328149
Dick%20Tracy.zip|Dick Tracy|351.41 KB - Action/1p - (c)1990 Sega|359840
Dinosaurs%20for%20Hire.zip|Dinosaurs for Hire|618.09 KB|632921
Donald%20in%20Maui%20Mallard.zip|Donald in Maui Mallard|1.46 MB - Platform/1p - (c)1995 Sega|1529520
Doom%20Troopers.zip|Doom Troopers|1.25 MB - Run and gun/2p - (c)1995 Playmates|1312714
Double%20Dribble%20-%20The%20Playoff%20Edition.zip|Double Dribble: The Playoff Edition|1.09 MB - Sports/8p - (c)1994 Konami|1138348
Dr.%20Robotnik%27s%20Mean%20Bean%20Machine.zip|Dr. Robotnik's Mean Bean Machine|559.76 KB - Puzzle/2p - (c)1993 Sega|573190
Dragon%27s%20Fury.zip|Dragon's Fury (also known as Devil Crash MD and Devil's Crush)|365.25 KB - Pinball/2p - (c)1992 Tengen|374015
Dragon%27s%20Revenge.zip|Dragon's Revenge|710.64 KB - Pinball/2p - (c)1993 Tengen|727700
Dune%20-%20The%20Battle%20for%20Arrakis.zip|Dune: The Battle for Arrakis|593.58 KB - Strategy/1p - (c)1993 Virgin Interactive|607829
Dungeons%20%26%20Dragons%20-%20Warriors%20of%20the%20Eternal%20Sun.zip|Dungeons & Dragons: Warriors of the Eternal Sun|514.16 KB - Role-playing/1p - (c)1992 Sega|526500
Dynamite%20Duke.zip|Dynamite Duke|349.55 KB - Gallery shooter/1p - (c)1990 Sega|357942
Dynamite%20Headdy.zip|Dynamite Headdy|1.34 MB - Platform/1p - (c)1994 Sega|1400658
ESPN%20Baseball%20Tonight.zip|ESPN Baseball Tonight|977.86 KB - Sports/2p - (c)1994 Sony Imagesoft|1001328
ESPN%20National%20Hockey%20Night.zip|ESPN National Hockey Night|867.85 KB - Sports/4p - (c)1994 Sony Imagesoft|888683
ESWAT%20-%20City%20Under%20Siege.zip|ESWAT: City Under Siege|367.08 KB - Platform/1p - (c)1990 Sega|375893
Earthworm%20Jim.zip|Earthworm Jim|1.83 MB - Platform/1p - (c)1994 Playmates|1923241
Earthworm%20Jim%202.zip|Earthworm Jim 2|1.73 MB - Platform/1p - (c)1996 Playmates|1818504
Ecco%20-%20The%20Tides%20of%20Time.zip|Ecco: The Tides of Time|1.18 MB - Action-adventure/1p - (c)1994 Sega|1239102
Ecco%20Jr..zip|Ecco Jr.|501.30 KB - Action-adventure/1p - (c)1995 Sega|513335
Ecco%20the%20Dolphin.zip|Ecco the Dolphin|505.64 KB - Action-adventure/1p - (c)1993 Sega|517773
El%20Viento.zip|El Viento|672.97 KB - Platform/1p - (c)1991 Renovation Products|689125
Elemental%20Master.zip|Elemental Master|399.01 KB - Shoot 'em up/1p - (c)1993 Renovation Products|408582
Eternal%20Champions.zip|Eternal Champions|1.55 MB - Fighting/2p - (c)1993 Sega|1622229
Evander%20Holyfield%27s%20%27%27Real%20Deal%27%27%20Boxing.zip|Evander Holyfield's ''Real Deal'' Boxing|346.77 KB|355090
Ex-Mutants.zip|Ex-Mutants|545.65 KB - Platform/1p - (c)1992 Sega|558744
Exile.zip|Exile|788.21 KB - Role-playing/1p - (c)1991 Renovation Products|807128
F-15%20Strike%20Eagle%20II.zip|F-15 Strike Eagle II|420.68 KB - Flight simulator/1p - (c)1993 MicroProse|430775
F-22%20Interceptor.zip|F-22 Interceptor|379.75 KB - Flight simulator/2p - (c)1991 Electronic Arts|388860
F-117%20Night%20Storm.zip|F-117 Night Storm|1.08 MB - Flight simulator/1p - (c)1993 Electronic Arts|1133539
F1%20World%20Championship%20Edition.zip|F1 World Championship Edition|677.20 KB - Racing/2p - (c)1993 Domark|693452
FIFA%2098%20-%20Road%20to%20World%20Cup.zip|FIFA 98: Road to World Cup|1.05 MB - Sports/4p - (c)1997 Electronic Arts|1102549
FIFA%20International%20Soccer.zip|FIFA International Soccer|970.96 KB - Sports/4p - (c)1993 Electronic Arts|994259
FIFA%20Soccer%2095.zip|FIFA Soccer 95|1.11 MB - Sports/4p - (c)1994 Electronic Arts|1167986
FIFA%20Soccer%2096.zip|FIFA Soccer 96|1.09 MB - Sports/4p - (c)1995 Electronic Arts|1144603
FIFA%20Soccer%2097.zip|FIFA Soccer 97|1.06 MB - Sports/4p - (c)1996 Electronic Arts|1114307
Faery%20Tale%20Adventure%2C%20The.zip|Faery Tale Adventure, The|276.76 KB|283399
Family%20Feud.zip|Family Feud|307.45 KB - Trivia/2p - (c)1993 GameTek|314827
Fantastic%20Dizzy.zip|Fantastic Dizzy|397.26 KB - Action-adventure/1p - (c)1993 Codemasters|406792
Fatal%20Fury.zip|Fatal Fury (also known as Garou Densetsu)|835.06 KB - Fighting/2p - (c)1993 SNK|855104
Fatal%20Fury%202.zip|Fatal Fury 2 (also known as Garou Densetsu 2)|1.73 MB - Fighting/2p - (c)1994 SNK|1817271
Fatal%20Labyrinth.zip|Fatal Labyrinth|101.68 KB - Role-playing/1p - (c)1991 Sega|104117
Fatal%20Rewind.zip|Fatal Rewind (also known as The Killing Game Show)|228.89 KB - Platform/2p - (c)1991 Electronic Arts|234380
Final%20Zone.zip|Final Zone|275.04 KB - Shooter/1p - (c)1990 Renovation Products|281639
Fire%20Shark.zip|Fire Shark|194.09 KB - Shoot 'em up/1p - (c)1990 DreamWorks|198746
Flashback%20-%20The%20Quest%20for%20Identity.zip|Flashback: The Quest for Identity|964.00 KB - Platform/1p - (c)1993 U.S. Gold|987132
Flicky.zip|Flicky|42.61 KB - Platform/1p - (c)1991 Sega|43635
Flink.zip|Flink|774.73 KB - Platform/1p - (c)1994 Sony Imagesoft|793325
Flintstones%2C%20The.zip|Flintstones, The|320.99 KB|328697
Forgotten%20Worlds.zip|Forgotten Worlds|377.65 KB - Shoot 'em up/2p - (c)1989 Sega|386713
Formula%20One.zip|Formula One|442.52 KB - Racing/2p - (c)1993 Tengen|453137
Frogger.zip|Frogger|27.42 KB - Action/2p - (c)1998 Majesco|28083
G-LOC%20-%20Air%20Battle.zip|G-LOC: Air Battle|494.80 KB - Flight simulator/1p - (c)1993 Sega|506676
Gadget%20Twins.zip|Gadget Twins|396.23 KB - Action/2p - (c)1992 GameTek|405737
Gaiares.zip|Gaiares|593.32 KB - Shoot 'em up/1p - (c)1990 Renovation Products|607556
Gain%20Ground.zip|Gain Ground|356.60 KB - Action/2p - (c)1991 Renovation Products|365158
Galahad.zip|Galahad (also known as The Legend of Galahad)|688.18 KB - Platform/1p - (c)1992 Electronic Arts|704700
Galaxy%20Force%20II.zip|Galaxy Force II|425.89 KB - Rail shooter/1p - (c)1991 Sega|436108
Garfield%20-%20Caught%20in%20the%20Act.zip|Garfield: Caught in the Act|1.14 MB - Platform/1p - (c)1995 Sega|1193440
Gargoyles.zip|Gargoyles|1.48 MB - Platform/1p - (c)1995 Disney Interactive|1554820
Gauntlet%20IV.zip|Gauntlet IV|529.79 KB - Action/4p - (c)1993 Tengen|542504
Gemfire.zip|Gemfire (also known as Royal Blood)|412.15 KB - Strategy/2p - (c)1992 Koei|422044
