game_name|game_ext|game_size
Blastdozer (Japan)|.zip|7223266
Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl) (Beta) (2000-01-15) (#20)|.zip|15700108
Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl) (Beta) (2000-01-15) (#53)|.zip|15252124
Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl)|.zip|14929275
Blues Brothers 2000 (USA)|.zip|14927869
Body Harvest (Europe) (En,Fr,De)|.zip|7122137
Body Harvest (USA)|.zip|7122897
Bokujou Monogatari 2 (Japan) (Rev 1)|.zip|6602998
Bokujou Monogatari 2 (Japan) (Rev 2)|.zip|6603049
Bokujou Monogatari 2 (Japan)|.zip|6602143
Bomberman 64 (Europe)|.zip|5340026
Bomberman 64 (Japan)|.zip|7003755
Bomberman 64 (USA)|.zip|5338172
Bomberman 64 - The Second Attack! (USA)|.zip|11470499
Bomberman Hero (Europe)|.zip|9792742
Bomberman Hero (USA)|.zip|9792140
Bomberman Hero - Mirian Oujo o Sukue! (Japan)|.zip|9792482
Bottom of the 9th (USA)|.zip|13200419
Brew Volley (World) (Demo) (N64brew Game Jam 2023) (Aftermarket) (Unl)|.zip|714914
Brunswick Circuit Pro Bowling (USA)|.zip|7567197
Buck Bumble (Europe) (En,Fr,De,Es,It)|.zip|5284540
Buck Bumble (Japan)|.zip|5339600
Buck Bumble (USA)|.zip|5281363
Bug's Life, A (Europe)|.zip|11247478
Bug's Life, A (France)|.zip|11099081
Bug's Life, A (Germany)|.zip|11099912
Bug's Life, A (Italy)|.zip|11071987
Bug's Life, A (USA)|.zip|11248354
Bug Game (World) (Demo) (N64brew Game Jam 2021) (Aftermarket) (Unl)|.zip|3024815
Bust-A-Move '99 (USA)|.zip|7050527
Bust-A-Move 2 - Arcade Edition (Europe)|.zip|6536796
Bust-A-Move 2 - Arcade Edition (USA)|.zip|6536543
Bust-A-Move 3 DX (Europe)|.zip|7068975
Bust-A-Move 3 DX (USA) (Beta) (1998-08-28)|.zip|7225715
California Speed (Europe) (Proto)|.zip|14861563
California Speed (USA)|.zip|14699704
Carmageddon 64 (Europe) (En,Fr,De,Es)|.zip|10763506
Carmageddon 64 (Europe) (En,Fr,Es,It)|.zip|11962333
Carmageddon 64 (USA)|.zip|12176019
Carnivale - Cenzo's Adventure (USA) (Proto) (2000-07-21)|.zip|10955225
Castle 64 (World) (N64brew Game Jam 2020) (Aftermarket) (Unl)|.zip|4593327
Castlevania (Europe) (En,Fr,De)|.zip|9954779
Castlevania (USA) (Rev 1)|.zip|9783164
Castlevania (USA) (Rev 2)|.zip|9784882
Castlevania (USA)|.zip|9783150
Castlevania - Legacy of Darkness (Europe) (En,Fr,De)|.zip|14023580
Castlevania - Legacy of Darkness (USA)|.zip|13727606
Centre Court Tennis (Europe)|.zip|8437130
Chameleon Twist (Europe)|.zip|5419031
Chameleon Twist (Japan)|.zip|5363079
Chameleon Twist (USA) (Rev 1)|.zip|5342398
Chameleon Twist (USA)|.zip|6041034
Chameleon Twist 2 (Europe)|.zip|5384584
Chameleon Twist 2 (Japan)|.zip|5357819
Chameleon Twist 2 (USA)|.zip|5384625
Charlie Blast's Territory (Europe)|.zip|1138237
Charlie Blast's Territory (USA)|.zip|1138291
Chip8 C64 Emulator (World) (Aftermarket) (Unl)|.zip|86878
Chopper Attack (Europe)|.zip|5781500
Chopper Attack (USA)|.zip|5781547
Choro Q 64 (Japan)|.zip|2539955
Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan)|.zip|4561176
Chou Kuukan Nighter Pro Yakyuu King (Japan)|.zip|6941096
Chou Kuukan Nighter Pro Yakyuu King 2 (Japan)|.zip|10674936
Chou Snobo Kids (Japan)|.zip|10745750
City-Tour GP - Zen-Nihon GT Senshuken (Japan)|.zip|6456693
Clay Fighter - Sculptor's Cut (USA)|.zip|14178618
Clay Fighter 63 1-3 (Europe)|.zip|10302371
Clay Fighter 63 1-3 (USA) (Beta)|.zip|10343085
Clay Fighter 63 1-3 (USA)|.zip|10301981
Command &amp; Conquer (Europe) (En,Fr)|.zip|17726150
Command &amp; Conquer (Germany)|.zip|13015701
Command &amp; Conquer (USA)|.zip|13606639
Commander Keen in Goodbye, Galaxy (World) (2022-07-31) (Proto) (Aftermarket) (Unl)|.zip|713435
Conker's Bad Fur Day (Europe)|.zip|61280952
Conker's Bad Fur Day (USA) (Beta) (2000-08-26) (ECTS 2000)|.zip|53890631
Conker's Bad Fur Day (USA) (Beta) (2000-10-25)|.zip|61378622
Conker's Bad Fur Day (USA)|.zip|61281406
Controller Kensa-ki NUS-yo N Cassette (Japan) (Test Program)|.zip|1315143
Cruis'n Exotica (USA)|.zip|14345595
Cruis'n USA (Europe)|.zip|4582472
Cruis'n USA (USA) (Rev 1)|.zip|4582461
Cruis'n USA (USA) (Rev 2)|.zip|4582349
Cruis'n USA (USA) (Wii Virtual Console)|.zip|4582058
Cruis'n USA (USA)|.zip|4582207
Cruis'n World (Europe) (Rev 1)|.zip|11128972
Cruis'n World (Europe)|.zip|11110973
Cruis'n World (USA)|.zip|11128951
Custom Robo (Japan)|.zip|11599188
Custom Robo V2 (Japan)|.zip|12550543
CyberTiger (Europe)|.zip|13878299
CyberTiger (USA)|.zip|13877355
Daffy Duck Starring as Duck Dodgers (Europe) (En,Fr,De,Es,It,Nl)|.zip|13325395
Dance Dance Revolution - Disney Dancing Museum (Japan)|.zip|20614789
Dark Rift (Europe)|.zip|7621600
Dark Rift (USA)|.zip|7622355
