game_name|game_ext|game_size
All-American Championship Football (Europe)|.zip|280166
Amazing Spider-Man, The - Lethal Foes (Japan)|.zip|761915
America Oudan Ultra Quiz (Japan)|.zip|733031
American Battle Dome (Japan)|.zip|497465
American Gladiators (USA)|.zip|748084
American Tail, An - Fievel Goes West (Europe)|.zip|522439
American Tail, An - Fievel Goes West (USA)|.zip|523215
Ancient Magic - Bazoe! Mahou Sekai (Japan)|.zip|1088318
Andre Agassi Tennis (Japan) (En)|.zip|396621
Andre Agassi Tennis (USA)|.zip|398027
Angelique (Japan) (Premium Box)|.zip|1402587
Angelique (Japan)|.zip|1393523
Angelique - Voice Fantasy (Japan)|.zip|2230862
Animal Buranden - Brutal (Japan)|.zip|1322413
Animaniacs (Europe)|.zip|761617
Animaniacs (Japan)|.zip|761839
Animaniacs (USA) (Beta) (1994-06-11)|.zip|585906
Animaniacs (USA)|.zip|761592
Another World (Europe)|.zip|647026
Aoki Densetsu Shoot! (Japan) (Beta)|.zip|975628
Aoki Densetsu Shoot! (Japan)|.zip|939075
Apocalypse II (Europe) (Proto 1)|.zip|384614
Apocalypse II (Europe) (Proto 2) (1997-10-28)|.zip|384528
Appleseed - Prometheus no Shintaku (Japan)|.zip|894915
Aqutallion (Japan)|.zip|574606
Arabian Nights - Sabaku no Seirei Ou (Japan) (Beta)|.zip|1515469
Arabian Nights - Sabaku no Seirei Ou (Japan)|.zip|1518738
Araiguma Rascal (Japan)|.zip|646211
Arcade's Greatest Hits - The Atari Collection 1 (Europe)|.zip|225623
Arcade's Greatest Hits - The Atari Collection 1 (USA) (Beta) (1997-02-10)|.zip|40733
Arcade's Greatest Hits - The Atari Collection 1 (USA) (Beta) (1997-02-11)|.zip|11883
Arcade's Greatest Hits - The Atari Collection 1 (USA) (Beta) (1997-04-11)|.zip|238546
Arcade's Greatest Hits - The Atari Collection 1 (USA)|.zip|225617
Arcana (USA) (Beta)|.zip|667673
Arcana (USA)|.zip|667661
Archer Maclean's Super Dropzone (Europe)|.zip|811168
Arcus Spirits (Japan)|.zip|967222
Arcus Spirits (USA) (Proto)|.zip|1173174
Ardy Lightfoot (Europe)|.zip|670404
Ardy Lightfoot (Japan) (Beta)|.zip|660006
Ardy Lightfoot (Japan)|.zip|657559
Ardy Lightfoot (USA)|.zip|660941
Area 88 (Japan)|.zip|572331
Aretha (Japan) (Rev 1) (NP)|.zip|1633960
Aretha (Japan)|.zip|1632285
Aretha II - Ariel no Fushigi na Tabi (Japan) (Beta 1)|.zip|1638176
Aretha II - Ariel no Fushigi na Tabi (Japan) (Beta 2)|.zip|1634750
Aretha II - Ariel no Fushigi na Tabi (Japan)|.zip|1382425
Arkanoid (Europe)|.zip|232632
Arkanoid - Doh It Again (Japan) (En)|.zip|232949
Arkanoid - Doh It Again (USA)|.zip|233142
Art of Fighting (Europe)|.zip|1263794
Art of Fighting (USA)|.zip|1263878
Aryol (Japan)|.zip|724818
Asahi Shinbun Rensai - Katou Hifumi Kudan Shougi - Shingiryuu (Japan)|.zip|284840
Asameshimae Nyanko (Japan)|.zip|629714
Ashita no Joe (Japan)|.zip|533893
Assault Suits Valken (World) (Switch)|.zip|841661
Asterix &amp; Obelix (Europe) (En,Fr,De,Es)|.zip|1166440
Asterix (Europe) (En,Fr,De,Es) (Beta) (1993-03-11)|.zip|432279
Asterix (Europe) (En,Fr,De,Es)|.zip|431259
Astrohawk (World) (Beta) (Unl)|.zip|215025
Astrohawk (World) (Unl)|.zip|249235
Atlas, The - Renaissance Voyager (Japan) (Rev 1) (NP)|.zip|1608112
Atlas, The - Renaissance Voyager (Japan)|.zip|1696026
Atmosfear (USA) (Proto) (1994-07-12)|.zip|1419607
Attack of the PETSCII Robots (World) (Demo) (Aftermarket) (Unl)|.zip|171786
Axelay (Europe)|.zip|799528
Axelay (Japan)|.zip|790151
Axelay (USA) (Sample)|.zip|799597
Axelay (USA)|.zip|799528
Ayrton Senna Revival Show (World) (Pt) (Demo) (Unl)|.zip|1099872
B.O.B. (Europe)|.zip|751897
B.O.B. (USA)|.zip|751890
BASS Masters Classic (Japan)|.zip|1179826
BASS Masters Classic (USA)|.zip|1176167
BASS Masters Classic - Pro Edition (Europe)|.zip|1509074
BASS Masters Classic - Pro Edition (USA)|.zip|1509070
BLT (World) (Aftermarket) (Unl)|.zip|30793
BLT (World) (Demo 1) (Aftermarket) (Unl)|.zip|17087
BLT (World) (Demo 2) (Aftermarket) (Unl)|.zip|19313
BS-X - Sore wa Namae o Nusumareta Machi no Monogatari (Japan) (Rev 1)|.zip|455482
Baby T-Rex (USA) (Beta)|.zip|510418
Bahamut Lagoon (Japan) (Virtual Console)|.zip|2096864
Bahamut Lagoon (Japan)|.zip|2096827
Bakukyuu Renpatsu!! Super B-Daman (Japan)|.zip|1232973
Bakumatsu Kourinden Oni (Japan)|.zip|2606816
Bakutou Dochers - Bumps-jima wa Oosawagi (Japan)|.zip|642910
Ball Bullet Gun (Japan)|.zip|642131
Ballz 3D - Fighting at Its Ballziest (USA) (Beta)|.zip|701554
Ballz 3D - Fighting at Its Ballziest (USA)|.zip|693744
Bananas de Pijamas (USA) (Pirate)|.zip|376896
Barbarossa (Japan)|.zip|414156
Barbie Super Model (USA)|.zip|488516
Barbie Vacation Adventure (USA) (Proto)|.zip|595509
Barkley Shut Up and Jam! (Europe)|.zip|649826
Barkley Shut Up and Jam! (USA)|.zip|675072
Barkley no Power Dunk (Japan) (En)|.zip|645503
Bassin's Black Bass (USA)|.zip|1109483
Bastard!! - Ankoku no Hakaishin (Japan)|.zip|617393
Batman (USA) (Proto)|.zip|279775
Batman - Revenge of the Joker (USA) (Proto)|.zip|448987
Batman Forever (Europe)|.zip|2147742
Batman Forever (Japan) (En) (Beta 1)|.zip|2117677
Batman Forever (Japan) (En) (Beta 2)|.zip|2118376
Batman Forever (Japan) (En)|.zip|2147658
Batman Forever (USA) (Rev 1)|.zip|2147748
Batman Forever (USA)|.zip|2151012
Batman Returns (Europe)|.zip|762035
Batman Returns (Japan) (En)|.zip|757256
Batman Returns (USA) (Sample)|.zip|770359
Batman Returns (USA)|.zip|761400
Battle Blaze (Japan) (En)|.zip|603369
Battle Blaze (USA) (Beta 1)|.zip|633720
Battle Blaze (USA) (Beta 2)|.zip|658813
Battle Blaze (USA)|.zip|610095
Battle Cars (USA)|.zip|774217
Battle Clash (Europe)|.zip|687853
Battle Clash (USA)|.zip|689733
Battle Commander - Hachibushuu, Shura no Heihou (Japan)|.zip|610881
Battle Cross (Japan)|.zip|552419
Battle Dodge Ball (Japan)|.zip|676505
Battle Dodge Ball II (Japan)|.zip|774469
Battle Grand Prix (Japan) (En)|.zip|514009
Battle Grand Prix (USA)|.zip|389208
Battle Jockey (Japan)|.zip|599817
Battle Master - Kyuukyoku no Senshi-tachi (Japan) (Sample)|.zip|1081204
Battle Master - Kyuukyoku no Senshi-tachi (Japan)|.zip|1081185
Battle Pinball (Japan)|.zip|681014
Battle Racers (Japan)|.zip|527531
Battle Robot Retsuden (Japan) (Rev 1)|.zip|1697017
Battle Robot Retsuden (Japan)|.zip|1696912
Battle Soccer - Field no Hasha (Japan)|.zip|530959
Battle Soccer 2 (Japan)|.zip|746251
Battle Submarine (Japan)|.zip|357718
BattleTech (Japan)|.zip|744359
BattleTech 3050 (Japan)|.zip|948534
Battle Tycoon - Flash Hiders SFX (Japan) (Rev 1)|.zip|2061859
Battle Tycoon - Flash Hiders SFX (Japan)|.zip|2061726
Battle Zeque Den (Japan)|.zip|939474
Battletoads-Double Dragon (Europe)|.zip|696148
Battletoads-Double Dragon (USA)|.zip|695617
Battletoads in Battlemaniacs (Europe)|.zip|668687
Battletoads in Battlemaniacs (Japan)|.zip|667017
Battletoads in Battlemaniacs (USA) (Beta)|.zip|668548
Battletoads in Battlemaniacs (USA)|.zip|668636
Bazooka Blitzkrieg (USA)|.zip|324968
Beauty and the Beast (Europe) (Beta)|.zip|728348
Beauty and the Beast (Europe)|.zip|733897
Beauty and the Beast (USA)|.zip|733889
Beavis and Butt-Head (Europe)|.zip|1064531
Beavis and Butt-Head (USA)|.zip|1064532
Bebe's Kids (USA)|.zip|577611
Beethoven's 2nd (USA) (Beta) (1993-09-13)|.zip|315445
Beethoven - The Ultimate Canine Caper! (Europe)|.zip|315044
Beethoven - The Ultimate Canine Caper! (USA)|.zip|315038
Benkei Gaiden - Suna no Shou (Japan)|.zip|973126
Best Shot Pro Golf (Japan)|.zip|2734377
