game_name|game_ext|game_size
68-in-1 (Asia) (En) (WQ2006 D) (Pirate)|.zip|120182
80's Bros. vs the Horde of Chewbaccy Balboa (World) (Aftermarket) (Unl)|.zip|26186
99 Crystals (World) (Demo) (2022-09-17T120459) (Aftermarket) (Unl)|.zip|40936
99 Crystals (World) (Demo) (2022-09-17T122813) (Aftermarket) (Unl)|.zip|40936
99 Crystals (World) (Demo) (2022-09-17T173252) (Aftermarket) (Unl)|.zip|40950
99 Crystals (World) (Demo) (2022-09-17T173859) (Aftermarket) (Unl)|.zip|40950
100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan)|.zip|126396
100-in-1 Contra Function 16 (Asia) (En) (Pirate)|.zip|627287
100-in-1 Real Game (Asia) (En,Ja) (Pirate)|.zip|2398389
110-in-1 (Asia) (En) (Pirate)|.zip|1846599
117-in-1 (Asia) (En) (WQ1708 D) (Pirate)|.zip|125806
150-in-1 Golden 1992 (Asia) (En) (Pirate)|.zip|322529
150-in-1 Unchained Melody (Asia) (En) (Unl)|.zip|114472
168-in-1 (Asia) (En,Ja) (AB CARD-15) (Pirate)|.zip|122375
168-in-1 New Contra Function 16 (Asia) (En) (Pirate)|.zip|629114
240p Test Suite (World) (v0.01) (Program) (Aftermarket) (Unl)|.zip|17222
240p Test Suite (World) (v0.02) (Program) (Aftermarket) (Unl)|.zip|23261
240p Test Suite (World) (v0.03) (Program) (Aftermarket) (Unl)|.zip|25266
240p Test Suite (World) (v0.04) (Program) (Aftermarket) (Unl)|.zip|27761
240p Test Suite (World) (v0.05) (Program) (Aftermarket) (Unl)|.zip|27448
240p Test Suite (World) (v0.06) (Program) (Aftermarket) (Unl)|.zip|28770
240p Test Suite (World) (v0.07) (Program) (Aftermarket) (Unl)|.zip|29027
240p Test Suite (World) (v0.08) (Program) (Aftermarket) (Unl) (Alt)|.zip|39511
240p Test Suite (World) (v0.08) (Program) (Aftermarket) (Unl)|.zip|29145
240p Test Suite (World) (v0.09) (Program) (Aftermarket) (Unl) (Alt)|.zip|39843
240p Test Suite (World) (v0.09) (Program) (Aftermarket) (Unl)|.zip|29513
240p Test Suite (World) (v0.10) (Program) (Aftermarket) (Unl) (Alt)|.zip|39860
240p Test Suite (World) (v0.10) (Program) (Aftermarket) (Unl)|.zip|29543
240p Test Suite (World) (v0.11) (Program) (Aftermarket) (Unl) (Alt)|.zip|41016
240p Test Suite (World) (v0.11) (Program) (Aftermarket) (Unl)|.zip|30319
240p Test Suite (World) (v0.12) (BNROM) (Program) (Aftermarket) (Unl)|.zip|41295
240p Test Suite (World) (v0.12) (UNROM) (Program) (Aftermarket) (Unl)|.zip|30547
240p Test Suite (World) (v0.13) (Program) (Aftermarket) (Unl) (Alt)|.zip|30659
240p Test Suite (World) (v0.13) (Program) (Aftermarket) (Unl)|.zip|30564
240p Test Suite (World) (v0.14) (Program) (Aftermarket) (Unl) (Alt)|.zip|32289
240p Test Suite (World) (v0.14) (Program) (Aftermarket) (Unl)|.zip|32164
240p Test Suite (World) (v0.15) (Program) (Aftermarket) (Unl) (Alt)|.zip|31976
240p Test Suite (World) (v0.15) (Program) (Aftermarket) (Unl)|.zip|31838
240p Test Suite (World) (v0.16) (Program) (Aftermarket) (Unl) (Alt)|.zip|32452
240p Test Suite (World) (v0.16) (Program) (Aftermarket) (Unl)|.zip|32356
240p Test Suite (World) (v0.17) (Program) (Aftermarket) (Unl) (Alt)|.zip|32463
240p Test Suite (World) (v0.17) (Program) (Aftermarket) (Unl)|.zip|32345
240p Test Suite (World) (v0.18) (Program) (Aftermarket) (Unl) (Alt)|.zip|29115
240p Test Suite (World) (v0.18) (Program) (Aftermarket) (Unl)|.zip|29437
240p Test Suite (World) (v0.19) (Program) (Aftermarket) (Unl) (Alt)|.zip|29203
240p Test Suite (World) (v0.19) (Program) (Aftermarket) (Unl)|.zip|29520
240p Test Suite (World) (v0.20) (Program) (Aftermarket) (Unl) (Alt)|.zip|31213
240p Test Suite (World) (v0.20) (Program) (Aftermarket) (Unl)|.zip|31486
240p Test Suite (World) (v0.21) (Program) (Aftermarket) (Unl) (Alt)|.zip|31641
240p Test Suite (World) (v0.21) (Program) (Aftermarket) (Unl)|.zip|31891
