game_id|game_name|game_info|game_size
redearth.zip|Red Earth (Europe 961121)|Capcom/1996|
warzard.zip|Warzard (Japan 961121)|Capcom/1996|
redearthn.zip|Red Earth (Asia 961121, NO CD)|Capcom/1996|
redearthr1.zip|Red Earth (Europe 961023)|Capcom/1996|
warzardr1.zip|Warzard (Japan 961023)|Capcom/1996|
redearthnr1.zip|Red Earth (Asia 961023, NO CD)|Capcom/1996|
sfiii.zip|Street Fighter III: New Generation (Europe 970204)|Capcom/1997|
sfiiiu.zip|Street Fighter III: New Generation (USA 970204)|Capcom/1997|
sfiiia.zip|Street Fighter III: New Generation (Asia 970204)|Capcom/1997|
sfiiij.zip|Street Fighter III: New Generation (Japan 970204)|Capcom/1997|
sfiiih.zip|Street Fighter III: New Generation (Hispanic 970204)|Capcom/1997|
sfiiin.zip|Street Fighter III: New Generation (Asia 970204, NO CD, BIOS set 1)|Capcom/1997|
sfiiina.zip|Street Fighter III: New Generation (Asia 970204, NO CD, BIOS set 2)|Capcom/1997|
sfiii2.zip|Street Fighter III 2nd Impact: Giant Attack (USA 970930)|Capcom/1997|
sfiii2j.zip|Street Fighter III 2nd Impact: Giant Attack (Japan 970930)|Capcom/1997|
sfiii2h.zip|Street Fighter III 2nd Impact: Giant Attack (Hispanic 970930)|Capcom/1997|
sfiii2n.zip|Street Fighter III 2nd Impact: Giant Attack (Asia 970930, NO CD)|Capcom/1997|
jojo.zip|JoJo's Venture (Europe 990128)|Capcom/1998|
jojou.zip|JoJo's Venture (USA 990128)|Capcom/1998|
jojoa.zip|JoJo's Venture (Asia 990128)|Capcom/1998|
jojoj.zip|JoJo no Kimyou na Bouken (Japan 990128)|Capcom/1998|
jojon.zip|JoJo's Venture (Asia 990128, NO CD)|Capcom/1998|
jojor1.zip|JoJo's Venture (Europe 990108)|Capcom/1998|
jojour1.zip|JoJo's Venture (USA 990108)|Capcom/1998|
jojoar1.zip|JoJo's Venture (Asia 990108)|Capcom/1998|
jojojr1.zip|JoJo no Kimyou na Bouken (Japan 990108)|Capcom/1998|
jojonr1.zip|JoJo's Venture (Asia 990108, NO CD)|Capcom/1998|
jojor2.zip|JoJo's Venture (Europe 981202)|Capcom/1998|
jojour2.zip|JoJo's Venture (USA 981202)|Capcom/1998|
jojoar2.zip|JoJo's Venture (Asia 981202)|Capcom/1998|
jojojr2.zip|JoJo no Kimyou na Bouken (Japan 981202)|Capcom/1998|
jojonr2.zip|JoJo's Venture (Asia 981202, NO CD)|Capcom/1998|
sfiii3.zip|Street Fighter III 3rd Strike: Fight for the Future (Europe 990608)|Capcom/1999|
sfiii3u.zip|Street Fighter III 3rd Strike: Fight for the Future (USA 990608)|Capcom/1999|
sfiii3j.zip|Street Fighter III 3rd Strike: Fight for the Future (Japan 990608)|Capcom/1999|
sfiii3n.zip|Street Fighter III 3rd Strike: Fight for the Future (Japan 990608, NO CD)|Capcom/1999|
sfiii3na.zip|Street Fighter III 3rd Strike: Fight for the Future (Asia 990608, NO CD)|Capcom/1999|
sfiii3r1.zip|Street Fighter III 3rd Strike: Fight for the Future (Europe 990512)|Capcom/1999|
sfiii3ur1.zip|Street Fighter III 3rd Strike: Fight for the Future (USA 990512)|Capcom/1999|
sfiii3jr1.zip|Street Fighter III 3rd Strike: Fight for the Future (Japan 990512)|Capcom/1999|
sfiii3nr1.zip|Street Fighter III 3rd Strike: Fight for the Future (Japan 990512, NO CD)|Capcom/1999|
sfiii3nar1.zip|Street Fighter III 3rd Strike: Fight for the Future (Asia 990512, NO CD)|Capcom/1999|
jojoba.zip|JoJo's Bizarre Adventure (Europe 991015, NO CD)|Capcom/1999|
jojoban.zip|JoJo no Kimyou na Bouken: Mirai e no Isan (Japan 991015, NO CD)|Capcom/1999|
jojobar1.zip|JoJo's Bizarre Adventure (Europe 990927)|Capcom/1999|
jojobajr1.zip|JoJo no Kimyou na Bouken: Mirai e no Isan (Japan 990927)|Capcom/1999|
jojobanr1.zip|JoJo no Kimyou na Bouken: Mirai e no Isan (Japan 990927, NO CD)|Capcom/1999|
jojobaner1.zip|JoJo's Bizarre Adventure (Europe 990927, NO CD)|Capcom/1999|
jojobar2.zip|JoJo's Bizarre Adventure (Europe 990913)|Capcom/1999|
jojobajr2.zip|JoJo no Kimyou na Bouken: Mirai e no Isan (Japan 990913)|Capcom/1999|
jojobanr2.zip|JoJo no Kimyou na Bouken: Mirai e no Isan (Japan 990913, NO CD)|Capcom/1999|
jojobaner2.zip|JoJo's Bizarre Adventure (Europe 990913, NO CD)|Capcom/1999|
cps3boot.zip|CPS3 Multi-game bootleg for HD6417095 type SH2 (V4)|bootleg/1999|
cps3boota.zip|CPS3 Multi-game bootleg for dead security cart (V5)|bootleg/1999|
cps3booto.zip|CPS3 Multi-game bootleg for HD6417095 type SH2 (older)|bootleg/1999|
cps3bootao.zip|CPS3 Multi-game bootleg for dead security cart (older)|bootleg/1999|
cps3booto2.zip|CPS3 Multi-game bootleg for HD6417095 type SH2 (oldest) (New Generation, 3rd Strike, JoJo's Venture, JoJo's Bizarre Adventure and Red Earth only)|bootleg/1999|
cps3bootao2.zip|CPS3 Multi-game bootleg for dead security cart (oldest) (New Generation, 2nd Impact and 3rd Strike only)|bootleg/1999|
cps3bs32.zip|Street Fighter III 2nd Impact: Giant Attack (USA 970930, bootleg for HD6417095 type SH2, V3)|bootleg/1999|
cps3bs32a.zip|Street Fighter III 2nd Impact: Giant Attack (USA 970930, bootleg for HD6417095 type SH2, older)|bootleg/1999|
