game_id|game_name|game_info|game_size
1944.zip|1944: The Loop Master (Europe 000620)|Eighting / Raizing (Capcom license)/2-players/2000|15824730
1944d.zip|1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)|bootleg/2-players/2000 parent:1944|155267
1944j.zip|1944: The Loop Master (Japan 000620)|Eighting / Raizing (Capcom license)/2-players/2000 parent:1944|460520
19xx.zip|19XX: The War Against Destiny (Europe 960104)|Capcom/2-players/1996|8468454
19xxa.zip|19XX: The War Against Destiny (Asia 960104)|Capcom/2-players/1996 parent:19xx|1546885
19xxb.zip|19XX: The War Against Destiny (Brazil 951218)|Capcom/2-players/1996 parent:19xx|919499
19xxd.zip|19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)|bootleg/2-players/1996 parent:19xx|585660
19xxh.zip|19XX: The War Against Destiny (Hispanic 951218)|Capcom/2-players/1996 parent:19xx|1549282
19xxj.zip|19XX: The War Against Destiny (Japan 960104, yellow case)|Capcom/2-players/1996 parent:19xx|919472
19xxjr1.zip|19XX: The War Against Destiny (Japan 951225)|Capcom/2-players/1996 parent:19xx|1546872
armwar.zip|Armored Warriors (Europe 941024)|Capcom/3-players/1994|15567713
armwar1d.zip|Armored Warriors (Europe 941011 Phoenix Edition) (bootleg)|bootleg/3-players/1994 parent:armwar|753627
armwara.zip|Armored Warriors (Asia 941024)|Capcom/3-players/1994 parent:armwar|1323410
armwarr1.zip|Armored Warriors (Europe 941011)|Capcom/3-players/1994 parent:armwar|2291438
armwaru.zip|Armored Warriors (USA 941024)|Capcom/3-players/1994 parent:armwar|2076949
armwaru1.zip|Armored Warriors (USA 940920)|Capcom/3-players/1994 parent:armwar|1323384
avsp.zip|Alien vs. Predator (Europe 940520)|Capcom/3-players/1994|11139880
avspa.zip|Alien vs. Predator (Asia 940520)|Capcom/3-players/1994 parent:avsp|1316725
avspd.zip|Alien vs. Predator (Europe 940520 Phoenix Edition) (bootleg)|bootleg/3-players/1994 parent:avsp|434111
avsph.zip|Alien vs. Predator (Hispanic 940520)|Capcom/3-players/1994 parent:avsp|625341
avspj.zip|Alien vs. Predator (Japan 940520)|Capcom/3-players/1994 parent:avsp|1316755
avspu.zip|Alien vs. Predator (USA 940520)|Capcom/3-players/1994 parent:avsp|1316744
batcir.zip|Battle Circuit (Europe 970319)|Capcom/4-players/1997|12109975
batcira.zip|Battle Circuit (Asia 970319)|Capcom/4-players/1997 parent:batcir|1049227
batcird.zip|Battle Circuit (Europe 970319 Phoenix Edition) (bootleg)|bootleg/4-players/1997 parent:batcir|582718
batcirj.zip|Battle Circuit (Japan 970319)|Capcom/4-players/1997 parent:batcir|1846681
choko.zip|Janpai Puzzle Choukou (Japan 010820)|Mitchell (Capcom license)/1-players/2001|9119574
csclub.zip|Capcom Sports Club (Europe 971017)|Capcom/2-players/1997|6319824
csclub1.zip|Capcom Sports Club (Europe 970722)|Capcom/2-players/1997 parent:csclub|6716572
cscluba.zip|Capcom Sports Club (Asia 970722)|Capcom/2-players/1997 parent:csclub|6716538
csclubh.zip|Capcom Sports Club (Hispanic 970722)|Capcom/2-players/1997 parent:csclub|6268506
csclubj.zip|Capcom Sports Club (Japan 970722)|Capcom/2-players/1997 parent:csclub|6716513
csclubjr.zip|Capcom Sports Club (Japan 970722 rental version)|Capcom/2-players/1997 parent:csclubj|1229933
cybots.zip|Cyberbots: Fullmetal Madness (Europe 950424)|Capcom/2-players/1995|20182565
cybotsj.zip|Cyberbots: Fullmetal Madness (Japan 950420)|Capcom/2-players/1995 parent:cybots|1212238
cybotsu.zip|Cyberbots: Fullmetal Madness (USA 950424)|Capcom/2-players/1995 parent:cybots|1212145
ddsom.zip|Dungeons & Dragons: Shadow over Mystara (Europe 960619)|Capcom/4-players/1996|18024253
ddsoma.zip|Dungeons & Dragons: Shadow over Mystara (Asia 960619)|Capcom/4-players/1996 parent:ddsom|2871308
ddsomb.zip|Dungeons & Dragons: Shadow over Mystara (Brazil 960223)|Capcom/4-players/1996 parent:ddsom|1297942
ddsomj.zip|Dungeons & Dragons: Shadow over Mystara (Japan 960619)|Capcom/4-players/1996 parent:ddsom|2871266
