game_id|game_name|game_info|game_size
nam1975.zip|NAM-1975|3.0M - Gallery shooter/2p - (c)1990 SNK|3109468
ncombat.zip|Ninja Combat|2.9M - Beat 'em up/2p - (c)1991 SNK|3051517
ncommand.zip|Ninja Commando|3.2M - Run and gun/2p - (c)1992 SNK|3353079
neobombe.zip|Neo Bomberman|6.0M - Puzzle/2p - (c)1997 SNK|6249726
neodrift.zip|Neo Drift Out: New Technology|8.2M - Racing/2p - (c)1996 SNK|8575432
neomrdo.zip|Neo Mr. Do!|1.5M - Action/2p - (c)1997 SNK|1605011
ninjamas.zip|Ninja Master's|17.2M - Fighting/2p - (c)1996 SNK|18012647
nitd.zip|Nightmare in the Dark|17.1M - Platform/2p - (c)2000 Eleven|17880901
overtop.zip|Over Top|11.7M - Racing/2p - (c)1996 SNK|12254413
panicbom.zip|Bomberman: Panic Bomber|2.5M - Puzzle/2p - (c)1994 SNK|2640560
pbobble.zip|Bust-A-Move (also known as Puzzle Bobble)|1,005.9K - Puzzle/2p - (c)1994 SNK|1030061
preisle2.zip|Prehistoric Isle 2|52.1M - Shoot 'em up/2p - (c)1999 SNK|54664838
pulstar.zip|Pulstar|17.9M - Shoot 'em up/2p - (c)1995 SNK|18755756
puzzldpr.zip|puzzldpr|749.0K|767000
puzzledp.zip|Puzzle de Pon!|750.7K - Puzzle/2p - (c)1995 SNK|768724
ragnagrd.zip|Ragnagard (also known as Shin-Oh-Ken)|21.8M - Fighting/2p - (c)1996 SNK|22854637
rbff1.zip|Real Bout Fatal Fury (also known as Real Bout Garou Densetsu)|23.0M - Fighting/2p - (c)1995 SNK|24118759
rbff2.zip|rbff2|28.3M|29723145
rbffspec.zip|Real Bout Fatal Fury Special (also known as Real Bout Garou Densetsu Special)|23.7M - Fighting/2p - (c)1997 SNK|24869007
roboarmy.zip|Robo Army|2.9M - Beat 'em up/2p - (c)1991 SNK|3087404
rotd.zip|Rage of the Dragons|73.0M - Fighting/2p - (c)2002 Playmore|76583467
s1945p.zip|s1945p|73.8M|77360789
samsh5sp.zip|Samurai Shodown V Special (also known as Samurai Spirits Zero Special)|79.2M - Fighting/2p - (c)2004 SNK Playmore|83033266
samsho.zip|Samurai Shodown (also known as Samurai Spirits)|8.0M - Fighting/2p - (c)1993 SNK|8347740
samsho2.zip|Samurai Shodown II (also known as Shin Samurai Spirits: Haohmaru Jigokuhen)|13.8M - Fighting/2p - (c)1994 SNK|14482574
samsho3.zip|Samurai Shodown III (also known as Samurai Spirits: Zankuro Musouken)|16.7M - Fighting/2p - (c)1995 SNK|17548262
samsho4.zip|Samurai Shodown IV: Amakusa's Revenge (also known as Samurai Spirits: Amakusa Kourin)|21.6M - Fighting/2p - (c)1996 SNK|22671957
samsho5.zip|Samurai Shodown V (also known as Samurai Spirits Zero)|79.3M - Fighting/2p - (c)2003 SNK Playmore|83164356
savagere.zip|Savage Reign|12.6M - Fighting/2p - (c)1995 SNK|13252181
sdodgeb.zip|Super Dodge Ball (also known as Kunio no Nekketsu Toukyuu Densetsu)|6.9M - Sports/2p - (c)1996 Technos|7214434
sengoku.zip|Sengoku|3.4M - Beat 'em up/2p - (c)1991 SNK|3554646
sengoku2.zip|Sengoku 2|5.0M - Beat 'em up/2p - (c)1993 SNK|5280898
sengoku3.zip|Sengoku 3|42.7M - Beat 'em up/2p - (c)2001 SNK|44805641
shocktr2.zip|Shock Troopers: 2nd Squad|27.4M - Run and gun/2p - (c)1998 SNK|28712886
shocktro.zip|Shock Troopers|18.8M - Run and gun/2p - (c)1997 SNK|19672755
socbrawl.zip|Soccer Brawl|2.8M - Sports/2p - (c)1992 SNK|2930656
sonicwi2.zip|Aero Fighters 2 (also known as Sonic Wings 2)|5.3M - Shoot 'em up/2p - (c)1994 SNK|5543850
sonicwi3.zip|Aero Fighters 3 (also known as Sonic Wings 3)|8.9M - Shoot 'em up/2p - (c)1995 SNK|9336734
spinmast.zip|Spinmaster (also known as Miracle Adventure)|3.9M - Platform/2p - (c)1993 SNK|4037255
ssideki.zip|Super Sidekicks|3.1M - Sports/2p - (c)1992 SNK|3253025
ssideki2.zip|Super Sidekicks 2: The World Championship|6.5M - Sports/2p - (c)1994 SNK|6848129
ssideki3.zip|Super Sidekicks 3: The Next Glory|9.4M - Sports/2p - (c)1995 SNK|9870579
ssideki4.zip|The Ultimate 11: SNK Football Championship|13.0M - Sports/2p - (c)1996 SNK|13639424
strhoop.zip|Street Slam (also known as Street Hoop)|4.5M - Sports/2p - (c)1994 SNK|4677642
superspy.zip|The Super Spy|3.1M - Action/2p - (c)1991 SNK|3294082
svc.zip|SNK vs. Capcom: SVC Chaos|79.4M - Fighting/2p - (c)2003 SNK Playmore|83260213
tophuntr.zip|Top Hunter: Roddy & Cathy|6.6M - Platform/2p - (c)1994 SNK|6958558
tpgolf.zip|Top Player's Golf|3.6M - Sports/2p - (c)1991 SNK|3792358
trally.zip|Thrash Rally|2.7M - Racing/4p - (c)1991 SNK|2872544
turfmast.zip|Neo Turf Masters|8.9M - Sports/2p - (c)1996 SNK|9330726
twinspri.zip|Twinkle Star Sprites|8.7M - Shoot 'em up/2p - (c)1996 SNK|9071838
twsoc96.zip|Tecmo World Soccer '96|5.9M - Sports/2p - (c)1996 Tecmo|6149661
viewpoin.zip|Viewpoint|3.9M - Shoot 'em up/2p - (c)1992 SNK|4045229
wakuwak7.zip|Waku Waku 7|13.0M - Fighting/2p - (c)1996 SNK|13611461
wh1.zip|World Heroes|4.6M - Fighting/2p - (c)1992 SNK|4800009
wh2.zip|World Heroes 2|8.6M - Fighting/2p - (c)1993 SNK|9025854
wh2j.zip|World Heroes 2 Jet|10.4M - Fighting/2p - (c)1994 SNK|10868728
whp.zip|World Heroes Perfect|14.3M - Fighting/2p - (c)1995 SNK|14989551
wjammers.zip|Windjammers|3.9M - Sports/2p - (c)1994 SNK|4041194
zedblade.zip|Zed Blade|4.9M - Shoot 'em up/2p - (c)1994 SNK|5159503
zupapa.zip|Zupapa!|17.1M - Platform/2p - (c)2001 SNK|17945791
