game_id|game_name|game_info|game_size
battlnts.zip|Battlantis|224.5K - Shoot 'em up/2p - (c)1987 Konami|229889
battroad.zip|The Battle-Road|69.2K - Vehicular combat/2p - (c)1984 Irem|70832
bbakraid.zip|Battle Bakraid|15.4M - Shoot 'em up/2p - (c)1999 Eighting/Raizing|16165731
bbmanw.zip|Bomberman World|526.9K - Puzzle/4p - (c)1992 Irem|539577
bbros.zip|Buster Bros. (also known as Pang)|411.6K - Action/2p - (c)1989 Capcom|421485
bbusters.zip|Beast Busters|2.2M - Gallery shooter/3p - (c)1990 SNK|2351051
bchopper.zip|Battle Chopper (also known as Mr. Heli)|611.0K - Shoot 'em up/2p - (c)1987 Irem|625668
berlwall.zip|The Berlin Wall|2.2M - Action/2p - (c)1991 Kaneko|2285868
berzerk.zip|Berzerk|13.0K - Shooter/2p - (c)1980 Stern|13319
bgaregga.zip|Battle Garegga|4.0M - Shoot 'em up/2p - (c)1996 Eighting/Raizing|4197974
bionicc1.zip|Bionic Commando|334.2K - Platform/2p - (c)1987 Capcom|342237
bioship.zip|Bio-Ship Paladin (also known as Spaceship Gomera)|1.3M - Shoot 'em up/2p - (c)1990 UPL|1367266
bladestl.zip|Blades of Steel: The Supreme Hockey Challenge|868.9K - Sports/2p - (c)1987 Konami|889791
blandia.zip|Blandia|3.2M - Fighting/2p - (c)1992 Allumer|3357386
blaster.zip|Blaster|108.5K - Shooter (TPS)/2p - (c)1983 Williams Electronics|111076
blazeon.zip|BlaZeon|1.6M - Shoot 'em up/2p - (c)1992 Atlus|1706573
blazer.zip|Blazer|993.9K - Shoot 'em up/2p - (c)1987 Namco|1017737
blkheart.zip|Black Heart|1.1M - Shoot 'em up/2p - (c)1991 UPL|1150297
blkhole.zip|Black Hole|10.1K - Shoot 'em up/2p - (c)1981 Game-A-Tron|10362
blktiger.zip|Black Tiger (also known as Black Dragon)|330.8K - Platform/2p - (c)1987 Capcom|338722
blockcar.zip|Thunder & Lightning 2 (also known as Block Carnival)|781.5K - Puzzle/2p - (c)1992 Visco|800288
bloodbro.zip|Blood Bros.|1.1M - Gallery shooter/2p - (c)1991 Fabtek|1165108
bloodstm.zip|BloodStorm|8.7M - Fighting/2p - (c)1994 Strata|9170045
bloodwar.zip|Blood Warrior|11.3M - Fighting/2p - (c)1994 Kaneko|11874143
bloxeed.zip|Bloxeed|180.5K - Puzzle/2p - (c)1990 Sega|184809
blswhstl.zip|Bells & Whistles (also known as Detana!! TwinBee)|1.7M - Shoot 'em up/2p - (c)1991 Konami|1766366
bluehawk.zip|Blue Hawk|728.4K - Shoot 'em up/2p - (c)1993 Dooyong|745839
blzntrnd.zip|Blazing Tornado|14.1M - Sports/4p - (c)1994 Human Entertainment|14762455
bmaster.zip|Blade Master (also known as Cross Blades!)|1.8M - Beat 'em up/2p - (c)1991 Irem|1919274
bnj.zip|Bump 'n' Jump (also known as Burnin' Rubber)|24.6K - Vehicular combat/2p - (c)1982 Data East|25188
bnzabros.zip|Bonanza Bros.|923.8K - Platform/2p - (c)1990 Sega|945969
bombbee.zip|Bomb Bee|6.9K - Action/2p - (c)1979 Namco|7084
bombjack.zip|Bomb Jack|55.6K - Action/2p - (c)1984 Tehkan|56902
bonkadv.zip|Bonk's Adventure (also known as B.C. Kid)|4.9M - Platform/2p - (c)1994 Kaneko|5161677
bonzeadv.zip|Bonze Adventure (also known as Jigoku Meguri)|845.4K - Platform/2p - (c)1988 Taito|865656
boogwingu.zip|Boogie Wings (also known as The Great Ragtime Show)|7.9M - Shoot 'em up/2p - (c)1992 Data East|8306591
bouldash.zip|Boulder Dash (also known as Boulder Dash Part 2)|509.8K - Action/2p - (c)1990 Data East|521993
boxyboy.zip|Boxy Boy (also known as Soukoban Deluxe)|225.7K - Puzzle/2p - (c)1990 Namco|231139
brapboys.zip|B.Rap Boys|5.1M - Beat 'em up/3p - (c)1992 Kaneko|5385326
brkthru.zip|BreakThru|129.7K - Vehicular combat/2p - (c)1986 Data East|132835
bshark.zip|Battle Shark|2.3M - Gallery shooter/1p - (c)1989 Taito|2360907
btime.zip|BurgerTime|20.3K - Action/2p - (c)1982 Bally/Midway|20757
btlkroad.zip|Battle K-Road|4.0M - Fighting/2p - (c)1994 Psikyo|4161327
btoads.zip|Battletoads|4.1M - Beat 'em up/2p - (c)1994 Electronic Arts|4350974
bubblem.zip|Bubble Memories: The Story of Bubble Bobble III|5.6M - Platform/2p - (c)1995 Taito|5904419
bubbles.zip|Bubbles|34.9K - Action/2p - (c)1982 Williams Electronics|35772
bublboblr.zip|Bubble Bobble|179.5K - Platform/2p - (c)1986 Taito|183821
bubsymphu.zip|Bubble Symphony (also known as Bubble Bobble II)|4.7M - Platform/2p - (c)1994 Taito|4906713
buckrog.zip|Buck Rogers: Planet of Zoom (also known as Zoom 909)|88.2K - Rail shooter/2p - (c)1982 Sega|90331
bucky.zip|Bucky O'Hare|5.8M - Beat 'em up/4p - (c)1992 Konami|6132521
burnforc.zip|Burning Force|1.7M - Shoot 'em up/2p - (c)1989 Namco|1804932
bwidow.zip|Black Widow|26.8K - Shoot 'em up/2p - (c)1983 Atari|27400
bwings.zip|B-Wings|58.4K - Shoot 'em up/2p - (c)1984 Data East|59770
bzone.zip|Battlezone|14.2K - Shooter (FPS)/1p - (c)1980 Atari|14534
cabal.zip|Cabal|517.6K - Gallery shooter/2p - (c)1988 Fabtek|530040
cadash.zip|Cadash|726.9K - Role-playing/4p - (c)1990 Taito|744387
